Name,Last audit date,Code review,Readability,Automated scans,Use of color,"Text resizing, zoom, and magnification",Screen readers,Input and interaction methods
va-alert-sign-in,2025-01-09,Pass,Conditional Pass,Pass,Pass,Pass,Pass,Pass
va-thumbnail,2025-02-28,Pass,Conditional Pass,Pass,Pass,Fail,Pass,Pass
